                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.66398,                0.67353,                 1.1037,                0.97414,                0.93955,                 0.9777,                0.81789,                0.67009,                0.36144,                 1.1136,                0.00802,                0.00802,                0.00802
                     62,                0.67306,                0.67957,                 1.1115,                0.96242,                0.93632,                 0.9719,                0.80987,                0.67011,                0.36346,                 1.1066,               0.007987,               0.007987,               0.007987
                     63,                0.65608,                0.65904,                 1.0987,                0.97618,                0.94602,                0.97557,                0.80824,                0.67865,                 0.3628,                 1.1106,               0.007954,               0.007954,               0.007954
                     64,                0.66443,                 0.6721,                 1.0998,                0.98067,                0.95079,                0.97722,                0.81622,                0.66158,                0.34791,                 1.0995,               0.007921,               0.007921,               0.007921
                     65,                0.66466,                0.67613,                 1.1088,                0.96187,                0.94262,                0.97643,                0.81166,                0.67958,                0.37103,                 1.1105,               0.007888,               0.007888,               0.007888
                     66,                0.65569,                0.67026,                 1.0983,                0.96909,                0.95708,                0.97669,                0.81997,                0.64957,                0.35497,                 1.0975,               0.007855,               0.007855,               0.007855
                     67,                0.65095,                0.64708,                 1.0873,                0.94936,                0.95801,                0.97255,                0.80255,                0.67976,                0.37929,                 1.1022,               0.007822,               0.007822,               0.007822
                     68,                 0.6439,                0.65265,                 1.0896,                0.97881,                0.93888,                0.97949,                0.81629,                0.68477,                0.34939,                 1.0977,               0.007789,               0.007789,               0.007789
                     69,                 0.6433,                 0.6389,                 1.0913,                0.95113,                0.95526,                0.97008,                0.80127,                0.68813,                0.36986,                 1.1331,               0.007756,               0.007756,               0.007756
                     70,                0.63273,                0.62937,                 1.0869,                0.96402,                 0.9566,                0.97426,                0.81916,                0.65839,                0.35853,                 1.0827,               0.007723,               0.007723,               0.007723
                     71,                0.64506,                0.64266,                 1.0873,                0.97063,                0.96427,                0.98529,                0.82589,                0.65653,                0.33096,                 1.0793,                0.00769,                0.00769,                0.00769
                     72,                0.63023,                0.63228,                 1.0838,                0.97085,                0.94184,                0.97673,                0.81973,                0.65797,                   0.35,                 1.0969,               0.007657,               0.007657,               0.007657
                     73,                0.62592,                0.62064,                  1.083,                 0.9598,                0.94315,                0.97783,                 0.8146,                0.67707,                0.36342,                 1.1043,               0.007624,               0.007624,               0.007624
                     74,                 0.6302,                0.62267,                 1.0821,                0.92278,                0.95771,                0.97412,                 0.8254,                0.65544,                0.36449,                 1.0776,               0.007591,               0.007591,               0.007591
                     75,                0.62027,                0.61537,                 1.0797,                0.96756,                0.93937,                0.97864,                0.83484,                0.62997,                 0.3528,                 1.0836,               0.007558,               0.007558,               0.007558
                     76,                0.60486,                0.58909,                 1.0729,                0.97084,                0.94445,                 0.9784,                0.83232,                0.61628,                0.33451,                 1.0562,               0.007525,               0.007525,               0.007525
                     77,                0.61026,                0.59991,                 1.0784,                0.97595,                0.96434,                0.98483,                0.83747,                0.62836,                0.31008,                 1.0827,               0.007492,               0.007492,               0.007492
                     78,                0.60265,                0.59183,                 1.0713,                0.96069,                0.93959,                0.97493,                0.81885,                 0.6709,                0.34824,                 1.1043,               0.007459,               0.007459,               0.007459
                     79,                 0.6049,                0.59792,                 1.0671,                0.96285,                0.95445,                0.97772,                0.82859,                0.63972,                0.33903,                  1.072,               0.007426,               0.007426,               0.007426
                     80,                0.59654,                0.58781,                 1.0646,                0.97954,                0.93846,                0.98012,                0.83312,                0.63499,                0.33532,                 1.0745,               0.007393,               0.007393,               0.007393
                     81,                0.58805,                0.56419,                 1.0578,                0.98046,                 0.9427,                0.97339,                0.83503,                0.62979,                0.32585,                 1.0791,                0.00736,                0.00736,                0.00736
                     82,                0.58326,                 0.5734,                 1.0547,                0.96481,                0.95887,                0.97577,                 0.8383,                0.61339,                0.33015,                 1.0588,               0.007327,               0.007327,               0.007327
                     83,                0.58828,                0.57541,                 1.0627,                0.96378,                0.95362,                 0.9764,                0.83236,                0.62631,                 0.3248,                 1.0907,               0.007294,               0.007294,               0.007294
                     84,                0.59918,                0.58584,                 1.0706,                0.97129,                 0.9652,                0.98096,                 0.8327,                 0.6374,                0.31065,                 1.0743,               0.007261,               0.007261,               0.007261
                     85,                 0.5892,                0.58329,                 1.0634,                0.99103,                0.95588,                0.98298,                0.83933,                0.61256,                0.30047,                 1.0656,               0.007228,               0.007228,               0.007228
                     86,                0.57837,                0.56717,                 1.0538,                0.95948,                 0.9474,                0.97611,                0.83349,                0.62135,                0.34281,                 1.0808,               0.007195,               0.007195,               0.007195
                     87,                0.57419,                0.55971,                 1.0523,                0.96805,                0.95793,                0.97701,                0.83842,                0.61041,                0.32206,                 1.0611,               0.007162,               0.007162,               0.007162
                     88,                0.57038,                 0.5556,                 1.0461,                0.97762,                0.95803,                0.98214,                0.83774,                0.61095,                 0.3089,                   1.06,               0.007129,               0.007129,               0.007129
