Student,Device,DateTime,VideoFile,Timestamp,Confidence,Prediction,Location
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_00_19.00,0.8054003715515137, WineBottle2, 411.67:237.5:767.64:293.66
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_00_18.75,0.25789496302604675, WineBottle1, 418.09:256.24:763.82:384.72
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_00_19.75,0.8012336492538452, WineBottle2, 411.83:235.57:766.82:298.2
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_01_38.25,0.2872735857963562, WineBottle2, 202.36:424.94:51.91:46.24
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_03_46.00,0.27520039677619934, ChampagneGlass, 213.54:255.62:25.14:87.45
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_04_12.50,0.56605464220047, WineBottle2, 343.63:220.9:32.13:87.09
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_04_12.75,0.36076903343200684, WineBottle2, 342.62:221.86:34.33:87.14
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_04_13.50,0.2749568819999695, WineBottle2, 342.73:225.84:33.79:91.22
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_04_13.25,0.36076903343200684, WineBottle2, 342.62:221.86:34.33:87.14
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_04_17.25,0.21556800603866577, WineBottle2, 340.94:232.64:32.04:77.39
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_04_39.25,0.6879335045814514, WineBottle1, 258.95:221.95:48.64:116.8
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_04_41.00,0.6879335045814514, WineBottle1, 258.95:221.95:48.64:116.8
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_05_37.25,0.6308391690254211, WineBottle2, 250.45:226.79:56.62:118.58
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_06_19.75,0.20347581803798676, WineBottle2, 235.48:269.57:54.68:112.16
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_06_52.25,0.23474547266960144, WineBottle2, 271.86:262.82:66.48:201.31
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_08_06.00,0.233424574136734, WineBottle2, 310.0:275.85:40.43:105.08
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_08_53.75,0.47962069511413574, ChampagneGlass, 271.61:230.09:32.14:83.8
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_08_54.00,0.39135366678237915, ChampagneGlass, 273.64:233.73:33.41:94.56
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_09_45.75,0.4757910370826721, Shots, 202.29:289.26:23.8:33.44
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_10_15.25,0.2079094648361206, WineBottle2, 182.13:251.93:90.12:170.2
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_10_49.50,0.6956645250320435, Shots, 366.65:342.1:29.55:37.83
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_11_02.75,0.3485656678676605, Shots, 390.59:288.62:42.36:38.88
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_11_45.00,0.558253824710846, Shots, 299.31:346.63:37.87:34.23
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_12_56.75,0.29683592915534973, Shots, 335.66:356.61:59.01:16.67
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_13_03.75,0.5787342190742493, WineBottle2, 252.51:208.97:52.9:83.22
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_13_04.25,0.3413504362106323, WineBottle2, 260.34:208.92:59.58:77.55
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_13_04.50,0.43271031975746155, Cocktail1, 312.13:309.42:49.21:86.78
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_13_20.75,0.47617676854133606, Shots, 169.07:234.93:44.32:36.33
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_13_21.00,0.22903653979301453, Shots, 175.41:230.67:38.95:35.62
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_13_21.25,0.8364388346672058, Shots, 206.78:238.58:39.33:35.4
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_13_21.50,0.8743719458580017, Shots, 238.39:246.4:36.4:36.34
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_13_21.75,0.8928350806236267, Shots, 270.07:273.74:36.91:45.14
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_13_22.00,0.6609500050544739, Shots, 276.07:285.0:43.91:53.32
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_13_22.25,0.6482940316200256, Shots, 270.55:312.76:53.49:63.62
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_13_30.75,0.22442418336868286, Shots, 256.47:254.38:27.04:56.29
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_14_36.50,0.32230710983276367, Shots, 246.19:290.5:27.53:46.97
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_15_21.00,0.47282132506370544, Cocktail3, 69.9:253.26:24.53:134.42
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_15_21.25,0.4792787432670593, Cocktail3, 70.15:269.5:25.03:159.25
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_17_22.00,0.3595605492591858, BeerBottle, 332.1:251.73:140.19:223.75
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_17_53.00,0.3219103217124939, BeerBottle, 253.59:266.77:262.78:78.67
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_17_58.75,0.342410147190094, WineBottle1, 300.89:243.16:133.89:53.16
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_18_25.75,0.30017009377479553, BeerBottle, 318.8:243.52:246.31:99.35
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_19_18.75,0.2142375409603119, WineBottle2, 750.02:427.64:99.96:39.34
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_19_29.00,0.251954585313797, WineBottle2, 281.95:282.34:171.88:159.82
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_19_30.25,0.23508240282535553, WineBottle2, 282.3:282.27:171.32:159.87
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_19_30.00,0.26529330015182495, WineBottle2, 282.2:282.37:171.52:159.94
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_19_31.00,0.2701195478439331, WineBottle2, 282.17:282.28:170.61:159.59
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_19_31.25,0.35394486784935, WineBottle2, 282.12:282.09:169.95:158.97
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_19_31.75,0.28388512134552, WineBottle2, 282.02:282.1:170.45:159.35
